key,format,sourcePath,defaultScale,semanticRole,objectKind,description,size.sourceSize,size.authoredDefaultSize,size.renderedDefaultSize,colors.materialColors,colors.prominentRenderedColors,animations,warnings
table_medium,gltf,glb/props/dungeon/table_medium.gltf.glb,0.82,furniture_or_clutter,furniture,"table medium (furniture); 1.64m x 0.82m x 1.64m. Dominant colors: white/light, orange/gold, mixed.","{""x"":2,""y"":1,""z"":2}","{""x"":1.64,""y"":0.82,""z"":1.64}","{""x"":1.64,""y"":0.82,""z"":1.64}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffe0"",""pixels"":11147},{""hex"":""#ffa080"",""pixels"":6696},{""hex"":""#ffe0c0"",""pixels"":1677},{""hex"":""#ff8060"",""pixels"":1603},{""hex"":""#ffc0a0"",""pixels"":1383},{""hex"":""#ffe0a0"",""pixels"":611},{""hex"":""#ffc080"",""pixels"":550},{""hex"":""#e08060"",""pixels"":503}]",[],[]
table_long,gltf,glb/props/dungeon/table_long.gltf.glb,0.82,furniture_or_clutter,furniture,"table long (furniture); 1.64m x 0.82m x 3.28m. Dominant colors: white/light, orange/gold, mixed.","{""x"":2,""y"":1,""z"":4}","{""x"":1.64,""y"":0.82,""z"":3.28}","{""x"":1.64,""y"":0.82,""z"":3.28}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffe0"",""pixels"":5563},{""hex"":""#ffa080"",""pixels"":1972},{""hex"":""#ffe0c0"",""pixels"":859},{""hex"":""#ffc0a0"",""pixels"":541},{""hex"":""#ff8060"",""pixels"":479},{""hex"":""#ffe0e0"",""pixels"":184},{""hex"":""#ffe0a0"",""pixels"":175},{""hex"":""#e08060"",""pixels"":152}]",[],[]
table_long_decorated,gltf,glb/props/dungeon/table_long_decorated_A.gltf.glb,0.82,furniture_or_clutter,furniture,"table long decorated (furniture); 1.6881m x 1.5463m x 3.28m. Dominant colors: white/light, orange/gold, mixed.","{""x"":2.0586,""y"":1.8857,""z"":4}","{""x"":1.6881,""y"":1.5463,""z"":3.28}","{""x"":1.6881,""y"":1.5463,""z"":3.28}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffe0"",""pixels"":2560},{""hex"":""#ffffff"",""pixels"":2549},{""hex"":""#ffa080"",""pixels"":1983},{""hex"":""#ffe0c0"",""pixels"":580},{""hex"":""#ff8060"",""pixels"":512},{""hex"":""#ffc0a0"",""pixels"":351},{""hex"":""#80ffff"",""pixels"":242},{""hex"":""#ffe0e0"",""pixels"":236}]",[],[]
table_tablecloth,gltf,glb/props/dungeon/table_medium_tablecloth.gltf.glb,0.82,furniture_or_clutter,furniture,"table tablecloth (furniture); 1.64m x 0.82m x 1.64m. Dominant colors: white/light, orange/gold, mixed.","{""x"":2,""y"":1,""z"":2}","{""x"":1.64,""y"":0.82,""z"":1.64}","{""x"":1.64,""y"":0.82,""z"":1.64}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":8997},{""hex"":""#ffa080"",""pixels"":5859},{""hex"":""#ffffe0"",""pixels"":5319},{""hex"":""#ff8060"",""pixels"":1520},{""hex"":""#ffe0c0"",""pixels"":1028},{""hex"":""#ffc0a0"",""pixels"":805},{""hex"":""#e08060"",""pixels"":503},{""hex"":""#ffe0e0"",""pixels"":439}]",[],[]
chair,gltf,glb/props/dungeon/chair.gltf.glb,0.72,furniture_or_clutter,furniture,"chair (furniture); 0.54m x 0.8831m x 0.54m. Dominant colors: orange/gold, mixed, white/light.","{""x"":0.75,""y"":1.2265,""z"":0.75}","{""x"":0.54,""y"":0.8831,""z"":0.54}","{""x"":0.54,""y"":0.8831,""z"":0.54}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffa080"",""pixels"":9958},{""hex"":""#ff8060"",""pixels"":2631},{""hex"":""#ffe0a0"",""pixels"":1225},{""hex"":""#ffffe0"",""pixels"":1221},{""hex"":""#ffe0c0"",""pixels"":910},{""hex"":""#e08060"",""pixels"":788},{""hex"":""#ffc0a0"",""pixels"":784},{""hex"":""#ffc080"",""pixels"":366}]",[],[]
shelf_small,gltf,glb/props/dungeon/shelf_small.gltf.glb,0.78,furniture_or_clutter,furniture,"shelf small (furniture); 0.78m x 0.312m x 0.39m. Dominant colors: mixed, orange/gold.","{""x"":1,""y"":0.4,""z"":0.5}","{""x"":0.78,""y"":0.312,""z"":0.39}","{""x"":0.78,""y"":0.312,""z"":0.39}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffe0c0"",""pixels"":6555},{""hex"":""#ff8060"",""pixels"":3016},{""hex"":""#e08060"",""pixels"":1827},{""hex"":""#ffa080"",""pixels"":689},{""hex"":""#ffc0a0"",""pixels"":212},{""hex"":""#ffc080"",""pixels"":104},{""hex"":""#c06040"",""pixels"":71},{""hex"":""#ffc0c0"",""pixels"":62}]",[],[]
shelf_large,gltf,glb/props/dungeon/shelf_large.gltf.glb,0.78,furniture_or_clutter,furniture,"shelf large (furniture); 1.56m x 0.351m x 0.39m. Dominant colors: white/light, orange/gold, mixed.","{""x"":2,""y"":0.45,""z"":0.5}","{""x"":1.56,""y"":0.351,""z"":0.39}","{""x"":1.56,""y"":0.351,""z"":0.39}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffe0"",""pixels"":3163},{""hex"":""#ffa080"",""pixels"":1999},{""hex"":""#ffc0a0"",""pixels"":444},{""hex"":""#ffe0c0"",""pixels"":131},{""hex"":""#e08060"",""pixels"":74},{""hex"":""#ff8060"",""pixels"":47},{""hex"":""#e0a080"",""pixels"":30},{""hex"":""#ffc080"",""pixels"":27}]",[],[]
shelf_candles,gltf,glb/props/dungeon/shelf_small_candles.gltf.glb,0.78,decorative_tiny,furniture,"shelf candles (furniture); 0.78m x 0.7755m x 0.39m. Dominant colors: white/light, mixed, orange/gold.","{""x"":1,""y"":0.9942,""z"":0.5}","{""x"":0.78,""y"":0.7755,""z"":0.39}","{""x"":0.78,""y"":0.7755,""z"":0.39}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":7183},{""hex"":""#ffe0c0"",""pixels"":3423},{""hex"":""#ff8060"",""pixels"":3001},{""hex"":""#e08060"",""pixels"":1820},{""hex"":""#ffa080"",""pixels"":678},{""hex"":""#ffc0a0"",""pixels"":227},{""hex"":""#a08080"",""pixels"":154},{""hex"":""#ffc080"",""pixels"":104}]",[],[]
barrel_small,gltf,glb/props/dungeon/barrel_small.gltf.glb,0.74,furniture_or_clutter,storage_or_clutter,"barrel small (storage_or_clutter); 0.741m x 0.7531m x 0.741m. Dominant colors: white/light, orange/gold.","{""x"":1.0014,""y"":1.0177,""z"":1.0014}","{""x"":0.741,""y"":0.7531,""z"":0.741}","{""x"":0.741,""y"":0.7531,""z"":0.741}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":8067},{""hex"":""#ffa080"",""pixels"":7547},{""hex"":""#ffc080"",""pixels"":3484},{""hex"":""#ffc0a0"",""pixels"":2941},{""hex"":""#ffffe0"",""pixels"":2673},{""hex"":""#e08060"",""pixels"":793},{""hex"":""#ffe0a0"",""pixels"":544},{""hex"":""#ff8060"",""pixels"":418}]",[],[]
barrel_stack,gltf,glb/props/dungeon/barrel_small_stack.gltf.glb,0.74,furniture_or_clutter,storage_or_clutter,"barrel stack (storage_or_clutter); 1.3691m x 1.3099m x 0.74m. Dominant colors: white/light, orange/gold, mixed.","{""x"":1.8501,""y"":1.7701,""z"":1}","{""x"":1.3691,""y"":1.3099,""z"":0.74}","{""x"":1.3691,""y"":1.3099,""z"":0.74}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":5855},{""hex"":""#ffc0a0"",""pixels"":4815},{""hex"":""#ffa080"",""pixels"":3476},{""hex"":""#ffc080"",""pixels"":1959},{""hex"":""#ffe0c0"",""pixels"":1366},{""hex"":""#ffe0a0"",""pixels"":1165},{""hex"":""#ffffe0"",""pixels"":891},{""hex"":""#e08060"",""pixels"":663}]",[],[]
barrel_large,gltf,glb/props/dungeon/barrel_large.gltf.glb,0.74,furniture_or_clutter,storage_or_clutter,"barrel large (storage_or_clutter); 1.332m x 1.48m x 1.332m. Dominant colors: orange/gold, white/light.","{""x"":1.8,""y"":2,""z"":1.8}","{""x"":1.332,""y"":1.48,""z"":1.332}","{""x"":1.332,""y"":1.48,""z"":1.332}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffa080"",""pixels"":7542},{""hex"":""#ffffff"",""pixels"":4306},{""hex"":""#ffc0a0"",""pixels"":4010},{""hex"":""#ffc080"",""pixels"":2765},{""hex"":""#ffffe0"",""pixels"":2554},{""hex"":""#e08060"",""pixels"":1775},{""hex"":""#e0e0e0"",""pixels"":955},{""hex"":""#c0e0e0"",""pixels"":769}]",[],[]
crates_stacked,gltf,glb/props/dungeon/crates_stacked.gltf.glb,0.76,furniture_or_clutter,storage_or_clutter,"crates stacked (storage_or_clutter); 1.5878m x 1.6281m x 1.7095m. Dominant colors: orange/gold, white/light.","{""x"":2.0892,""y"":2.1423,""z"":2.2494}","{""x"":1.5878,""y"":1.6281,""z"":1.7095}","{""x"":1.5878,""y"":1.6281,""z"":1.7095}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffa080"",""pixels"":6207},{""hex"":""#ffffff"",""pixels"":4283},{""hex"":""#ffffe0"",""pixels"":2229},{""hex"":""#ffc080"",""pixels"":2004},{""hex"":""#e08060"",""pixels"":1894},{""hex"":""#ff8060"",""pixels"":1460},{""hex"":""#ffc0a0"",""pixels"":955},{""hex"":""#e0ffff"",""pixels"":816}]",[],[]
box_decorated,gltf,glb/props/dungeon/box_small_decorated.gltf.glb,0.76,decorative_or_unknown,decor_or_misc,"box decorated (decor_or_misc); 1.1323m x 1.1269m x 1.1303m. Dominant colors: white/light, orange/gold, mixed.","{""x"":1.4899,""y"":1.4828,""z"":1.4872}","{""x"":1.1323,""y"":1.1269,""z"":1.1303}","{""x"":1.1323,""y"":1.127,""z"":1.1303}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":9092},{""hex"":""#ffa080"",""pixels"":4178},{""hex"":""#ffff80"",""pixels"":2365},{""hex"":""#ffffa0"",""pixels"":1533},{""hex"":""#e0ffff"",""pixels"":1521},{""hex"":""#ffffe0"",""pixels"":1462},{""hex"":""#ffffc0"",""pixels"":1346},{""hex"":""#c0e0e0"",""pixels"":963}]",[],[]
box_stacked,gltf,glb/props/dungeon/box_stacked.gltf.glb,0.76,decorative_or_unknown,decor_or_misc,"box stacked (decor_or_misc); 2.6412m x 2.5148m x 2.7624m. Dominant colors: white/light, orange/gold.","{""x"":3.4753,""y"":3.3089,""z"":3.6347}","{""x"":2.6412,""y"":2.5148,""z"":2.7624}","{""x"":2.6412,""y"":2.5148,""z"":2.7624}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":6203},{""hex"":""#ffa080"",""pixels"":4519},{""hex"":""#ffc0a0"",""pixels"":1519},{""hex"":""#ffc080"",""pixels"":1342},{""hex"":""#e0ffff"",""pixels"":1283},{""hex"":""#ffffe0"",""pixels"":1015},{""hex"":""#c0e0e0"",""pixels"":895},{""hex"":""#e0e0e0"",""pixels"":789}]",[],[]
chest,gltf,glb/props/dungeon/chest.glb,0.76,furniture_or_clutter,storage_or_clutter,"chest (storage_or_clutter); 1.292m x 0.988m x 1.0988m. Dominant colors: orange/gold, white/light, mixed.","{""x"":1.7,""y"":1.3,""z"":1.4458}","{""x"":1.292,""y"":0.988,""z"":1.0988}","{""x"":1.292,""y"":0.988,""z"":1.0988}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffa080"",""pixels"":9638},{""hex"":""#ffffff"",""pixels"":7266},{""hex"":""#ffc0a0"",""pixels"":2960},{""hex"":""#e0ffff"",""pixels"":1829},{""hex"":""#ffe0c0"",""pixels"":1353},{""hex"":""#ff8060"",""pixels"":1318},{""hex"":""#ffc080"",""pixels"":969},{""hex"":""#c0e0e0"",""pixels"":670}]",[],[]
chest_gold,gltf,glb/props/dungeon/chest_gold.glb,0.76,furniture_or_clutter,storage_or_clutter,"chest gold (storage_or_clutter); 1.292m x 0.988m x 1.0988m. Dominant colors: orange/gold, white/light, mixed.","{""x"":1.7,""y"":1.3,""z"":1.4458}","{""x"":1.292,""y"":0.988,""z"":1.0988}","{""x"":1.292,""y"":0.988,""z"":1.0988}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffa080"",""pixels"":9638},{""hex"":""#ffffff"",""pixels"":7266},{""hex"":""#ffc0a0"",""pixels"":2960},{""hex"":""#e0ffff"",""pixels"":1829},{""hex"":""#ffe0c0"",""pixels"":1353},{""hex"":""#ff8060"",""pixels"":1318},{""hex"":""#ffc080"",""pixels"":969},{""hex"":""#c0e0e0"",""pixels"":670}]",[],[]
torch_lit,gltf,glb/props/dungeon/torch_lit.gltf.glb,0.72,decorative_tiny,lighting,"torch lit (lighting); 0.3962m x 0.8106m x 0.3962m. Dominant colors: white/light, mixed.","{""x"":0.5503,""y"":1.1258,""z"":0.5503}","{""x"":0.3962,""y"":0.8106,""z"":0.3962}","{""x"":0.3962,""y"":0.8106,""z"":0.3962}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":1531},{""hex"":""#e0ffff"",""pixels"":591},{""hex"":""#c0e0e0"",""pixels"":550},{""hex"":""#c0a0a0"",""pixels"":450},{""hex"":""#ffff80"",""pixels"":389},{""hex"":""#e0e0e0"",""pixels"":378},{""hex"":""#e0e0ff"",""pixels"":220},{""hex"":""#c0c0c0"",""pixels"":207}]",[],[]
torch_mounted,gltf,glb/props/dungeon/torch_mounted.gltf.glb,0.72,decorative_tiny,lighting,"torch mounted (lighting); 0.3962m x 0.765m x 0.4434m. Dominant colors: white/light, orange/gold, mixed, gray/stone.","{""x"":0.5503,""y"":1.0625,""z"":0.6158}","{""x"":0.3962,""y"":0.765,""z"":0.4434}","{""x"":0.3962,""y"":0.765,""z"":0.4434}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":2042},{""hex"":""#e0ffff"",""pixels"":670},{""hex"":""#ffa080"",""pixels"":542},{""hex"":""#c0e0e0"",""pixels"":412},{""hex"":""#c0c0c0"",""pixels"":343},{""hex"":""#e0e0ff"",""pixels"":328},{""hex"":""#a0a080"",""pixels"":305},{""hex"":""#e0e0e0"",""pixels"":299}]",[],[]
wall_shelves,gltf,glb/props/dungeon/wall_shelves.gltf.glb,0.8,decorative_or_unknown,wall_or_display_decor,"wall shelves (wall_or_display_decor); 3.2m x 3.2m x 1.0941m. Dominant colors: white/light, mixed.","{""x"":4,""y"":4,""z"":1.3676}","{""x"":3.2,""y"":3.2,""z"":1.0941}","{""x"":3.2,""y"":3.2,""z"":1.0941}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#e0e0ff"",""pixels"":6664},{""hex"":""#80a0a0"",""pixels"":3965},{""hex"":""#e0ffff"",""pixels"":3581},{""hex"":""#e0e0e0"",""pixels"":2586},{""hex"":""#a0c0c0"",""pixels"":2072},{""hex"":""#ffffff"",""pixels"":1489},{""hex"":""#8080a0"",""pixels"":937},{""hex"":""#c0e0e0"",""pixels"":666}]",[],[]
pillar,gltf,glb/props/dungeon/pillar.gltf.glb,0.8,solid_landmark,decor_or_misc,"pillar (decor_or_misc); 1.2m x 3.2m x 1.2m. Dominant colors: white/light, mixed.","{""x"":1.5,""y"":4,""z"":1.5}","{""x"":1.2,""y"":3.2,""z"":1.2}","{""x"":1.2,""y"":3.2,""z"":1.2}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#e0e0ff"",""pixels"":3247},{""hex"":""#e0e0e0"",""pixels"":1847},{""hex"":""#e0ffff"",""pixels"":1500},{""hex"":""#80a0a0"",""pixels"":1299},{""hex"":""#c0e0e0"",""pixels"":585},{""hex"":""#a0c0c0"",""pixels"":560},{""hex"":""#8080a0"",""pixels"":475},{""hex"":""#a0a0a0"",""pixels"":298}]",[],[]
key,gltf,glb/props/dungeon/key.gltf.glb,0.55,decorative_tiny,decor_or_misc,"key (decor_or_misc); 0.4926m x 0.2216m x 0.078m. Dominant colors: white/light, mixed, gray/stone.","{""x"":0.8957,""y"":0.4029,""z"":0.1418}","{""x"":0.4926,""y"":0.2216,""z"":0.078}","{""x"":0.4926,""y"":0.2216,""z"":0.078}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":3010},{""hex"":""#e0ffff"",""pixels"":658},{""hex"":""#e0e0e0"",""pixels"":645},{""hex"":""#c0e0e0"",""pixels"":636},{""hex"":""#e0e0ff"",""pixels"":416},{""hex"":""#c0c0c0"",""pixels"":171},{""hex"":""#a0c0c0"",""pixels"":150},{""hex"":""#a0a0a0"",""pixels"":128}]",[],[]
candle,gltf,glb/props/magic/candle.gltf.glb,0.65,decorative_tiny,lighting,"candle (lighting); 0.2174m x 0.5675m x 0.214m. Dominant colors: white/light, mixed.","{""x"":0.3344,""y"":0.873,""z"":0.3293}","{""x"":0.2174,""y"":0.5675,""z"":0.214}","{""x"":0.2173,""y"":0.5674,""z"":0.214}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":10659},{""hex"":""#a08080"",""pixels"":72},{""hex"":""#a0a080"",""pixels"":41},{""hex"":""#ffffe0"",""pixels"":21},{""hex"":""#e0e0e0"",""pixels"":21},{""hex"":""#e0c0c0"",""pixels"":18},{""hex"":""#c0a0a0"",""pixels"":14},{""hex"":""#c0c0a0"",""pixels"":8}]",[],[]
candle_lit,gltf,glb/props/magic/candle_lit.gltf.glb,0.65,decorative_tiny,lighting,"candle lit (lighting); 0.2174m x 0.6832m x 0.214m. Dominant colors: white/light, mixed.","{""x"":0.3344,""y"":1.0511,""z"":0.3293}","{""x"":0.2174,""y"":0.6832,""z"":0.214}","{""x"":0.2173,""y"":0.6832,""z"":0.214}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":7393},{""hex"":""#ffff80"",""pixels"":325},{""hex"":""#ffff60"",""pixels"":109},{""hex"":""#ffffa0"",""pixels"":52},{""hex"":""#ffffe0"",""pixels"":44},{""hex"":""#ffe080"",""pixels"":34},{""hex"":""#ffffc0"",""pixels"":24},{""hex"":""#ffc080"",""pixels"":13}]",[],[]
candle_thin_lit,gltf,glb/props/magic/candle_thin_lit.gltf.glb,0.65,decorative_tiny,lighting,"candle thin lit (lighting); 0.1256m x 0.6832m x 0.1237m. Dominant colors: white/light, mixed.","{""x"":0.1932,""y"":1.0511,""z"":0.1903}","{""x"":0.1256,""y"":0.6832,""z"":0.1237}","{""x"":0.1256,""y"":0.6832,""z"":0.1237}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":4090},{""hex"":""#ffff80"",""pixels"":330},{""hex"":""#ffff60"",""pixels"":109},{""hex"":""#ffffa0"",""pixels"":47},{""hex"":""#ffffe0"",""pixels"":35},{""hex"":""#ffe080"",""pixels"":30},{""hex"":""#ffffc0"",""pixels"":28},{""hex"":""#ffe0a0"",""pixels"":13}]",[],[]
candle_triple,gltf,glb/props/magic/candle_triple.gltf.glb,0.65,decorative_tiny,lighting,"candle triple (lighting); 0.3258m x 0.5675m x 0.2534m. Dominant colors: white/light, mixed.","{""x"":0.5012,""y"":0.873,""z"":0.3899}","{""x"":0.3258,""y"":0.5675,""z"":0.2534}","{""x"":0.3258,""y"":0.5674,""z"":0.2535}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":13441},{""hex"":""#a08080"",""pixels"":207},{""hex"":""#a0a080"",""pixels"":124},{""hex"":""#e0c0c0"",""pixels"":51},{""hex"":""#e0e0e0"",""pixels"":43},{""hex"":""#c0a0a0"",""pixels"":36},{""hex"":""#c0c0c0"",""pixels"":24},{""hex"":""#e0e0c0"",""pixels"":24}]",[],[]
bottle_brown,gltf,glb/props/magic/bottle_A_labeled_brown.gltf.glb,0.62,decorative_tiny,food_or_tabletop,"bottle brown (food_or_tabletop); 0.2284m x 0.5491m x 0.2284m. Dominant colors: white/light, orange/gold, mixed.","{""x"":0.3684,""y"":0.8857,""z"":0.3684}","{""x"":0.2284,""y"":0.5491,""z"":0.2284}","{""x"":0.2284,""y"":0.5491,""z"":0.2284}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":2564},{""hex"":""#ffc060"",""pixels"":2308},{""hex"":""#ffa060"",""pixels"":1074},{""hex"":""#ffe080"",""pixels"":756},{""hex"":""#ffe060"",""pixels"":602},{""hex"":""#ff8060"",""pixels"":326},{""hex"":""#ffc080"",""pixels"":287},{""hex"":""#e06040"",""pixels"":207}]",[],[]
bottle_green,gltf,glb/props/magic/bottle_A_labeled_green.gltf.glb,0.62,decorative_tiny,food_or_tabletop,"bottle green (food_or_tabletop); 0.2284m x 0.5491m x 0.2284m. Dominant colors: mixed, white/light.","{""x"":0.3684,""y"":0.8857,""z"":0.3684}","{""x"":0.2284,""y"":0.5491,""z"":0.2284}","{""x"":0.2284,""y"":0.5491,""z"":0.2284}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#80ffff"",""pixels"":2721},{""hex"":""#ffffff"",""pixels"":2564},{""hex"":""#60ffff"",""pixels"":1221},{""hex"":""#60ffe0"",""pixels"":1052},{""hex"":""#a0ffff"",""pixels"":777},{""hex"":""#40e0e0"",""pixels"":150},{""hex"":""#40e0c0"",""pixels"":150},{""hex"":""#ffffc0"",""pixels"":128}]",[],[]
bottle_b,gltf,glb/props/magic/bottle_B_brown.gltf.glb,0.62,decorative_tiny,food_or_tabletop,"bottle b (food_or_tabletop); 0.3427m x 0.5491m x 0.3427m. Dominant colors: orange/gold, mixed.","{""x"":0.5528,""y"":0.8857,""z"":0.5528}","{""x"":0.3427,""y"":0.5491,""z"":0.3427}","{""x"":0.3427,""y"":0.5491,""z"":0.3427}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffc060"",""pixels"":3781},{""hex"":""#ffa060"",""pixels"":2036},{""hex"":""#ffe080"",""pixels"":1223},{""hex"":""#ffe060"",""pixels"":851},{""hex"":""#ff8060"",""pixels"":656},{""hex"":""#ff8040"",""pixels"":611},{""hex"":""#ffffff"",""pixels"":576},{""hex"":""#e06040"",""pixels"":478}]",[],[]
banner_blue,gltf,glb/props/magic/banner_patternA_blue.gltf.glb,0.82,decorative_tiny,wall_or_display_decor,"banner blue (wall_or_display_decor); 1.23m x 2.6208m x 0.2558m. Dominant colors: white/light, mixed, blue.","{""x"":1.5,""y"":3.1961,""z"":0.3119}","{""x"":1.23,""y"":2.6208,""z"":0.2558}","{""x"":1.23,""y"":2.6208,""z"":0.2557}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":4698},{""hex"":""#c0ffff"",""pixels"":2555},{""hex"":""#e0ffff"",""pixels"":927},{""hex"":""#a0ffff"",""pixels"":838},{""hex"":""#80e0ff"",""pixels"":314},{""hex"":""#80c0ff"",""pixels"":78},{""hex"":""#a0e0ff"",""pixels"":57},{""hex"":""#e0ffe0"",""pixels"":30}]",[],"[""decorative_tiny role but larger than expected""]"
banner_yellow,gltf,glb/props/magic/banner_patternB_yellow.gltf.glb,0.82,decorative_tiny,wall_or_display_decor,"banner yellow (wall_or_display_decor); 1.23m x 2.6208m x 0.2558m. Dominant colors: white/light, mixed.","{""x"":1.5,""y"":3.1961,""z"":0.3119}","{""x"":1.23,""y"":2.6208,""z"":0.2558}","{""x"":1.23,""y"":2.6208,""z"":0.2557}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":4385},{""hex"":""#ffffa0"",""pixels"":3803},{""hex"":""#ffff80"",""pixels"":732},{""hex"":""#ffffc0"",""pixels"":305},{""hex"":""#ffe060"",""pixels"":195},{""hex"":""#ffffe0"",""pixels"":41},{""hex"":""#ffe080"",""pixels"":29},{""hex"":""#e0e0e0"",""pixels"":16}]",[],"[""decorative_tiny role but larger than expected""]"
banner_white,gltf,glb/props/magic/banner_white.gltf.glb,0.82,decorative_tiny,wall_or_display_decor,"banner white (wall_or_display_decor); 1.23m x 2.6208m x 0.2558m. Dominant colors: white/light, mixed.","{""x"":1.5,""y"":3.1961,""z"":0.3119}","{""x"":1.23,""y"":2.6208,""z"":0.2558}","{""x"":1.23,""y"":2.6208,""z"":0.2557}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":9446},{""hex"":""#ffffe0"",""pixels"":28},{""hex"":""#e0e0e0"",""pixels"":16},{""hex"":""#e0ffff"",""pixels"":14},{""hex"":""#e0e0ff"",""pixels"":10},{""hex"":""#c0e0e0"",""pixels"":10},{""hex"":""#c0c0e0"",""pixels"":4},{""hex"":""#a0c0c0"",""pixels"":2}]",[],"[""decorative_tiny role but larger than expected""]"
banner_brown,gltf,glb/props/magic/banner_brown.gltf.glb,0.82,decorative_tiny,wall_or_display_decor,"banner brown (wall_or_display_decor); 1.23m x 2.6208m x 0.2558m. Dominant colors: orange/gold, mixed.","{""x"":1.5,""y"":3.1961,""z"":0.3119}","{""x"":1.23,""y"":2.6208,""z"":0.2558}","{""x"":1.23,""y"":2.6208,""z"":0.2557}","[{""name"":""texture"",""hex"":""#ffffff""}]","[{""hex"":""#ffc060"",""pixels"":6635},{""hex"":""#ffa060"",""pixels"":1103},{""hex"":""#ffe060"",""pixels"":499},{""hex"":""#ff8060"",""pixels"":493},{""hex"":""#ff8040"",""pixels"":201},{""hex"":""#ffe0a0"",""pixels"":190},{""hex"":""#e06040"",""pixels"":118},{""hex"":""#ffe0c0"",""pixels"":61}]",[],"[""decorative_tiny role but larger than expected""]"
sword_1h,gltf,glb/equipment/weapons/sword_1handed.gltf,0.7,decorative_tiny,tools_or_weapons,"sword 1h (tools_or_weapons); 0.3524m x 1.2427m x 0.0914m. Dominant colors: white/light, mixed, gray/stone.","{""x"":0.5034,""y"":1.7753,""z"":0.1306}","{""x"":0.3524,""y"":1.2427,""z"":0.0914}","{""x"":0.3524,""y"":1.2427,""z"":0.0914}","[{""name"":""knight"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":1249},{""hex"":""#e0ffff"",""pixels"":422},{""hex"":""#c0e0e0"",""pixels"":361},{""hex"":""#e0e0e0"",""pixels"":297},{""hex"":""#c0c0c0"",""pixels"":264},{""hex"":""#e0e0ff"",""pixels"":231},{""hex"":""#c0c0e0"",""pixels"":142},{""hex"":""#ffa080"",""pixels"":116}]",[],[]
